id,weight,fat,type,price,outlet
FDR49,8.71,Low Fat,Canned,46.2376,Supermarket Type1
FDB03,17.75,Regular,Dairy,242.2538,Grocery Store
FDN39,19.35,Regular,Meat,165.7816,Supermarket Type1
FDX02,,Low Fat,Dairy,223.1404,Supermarket Type3
FDQ16,,Low Fat,Frozen Foods,107.7912,Supermarket Type3
FDU35,6.44,Low Fat,Breads,99.47,Supermarket Type2
NCT29,12.6,Low Fat,Health and Hygiene,122.1414,Supermarket Type1
FDZ27,7.935,Low Fat,Dairy,48.135,Supermarket Type1
FDN57,18.25,Low Fat,Snack Foods,140.4154,Supermarket Type1
FDA03,18.5,Regular,Dairy,145.6102,Supermarket Type2
FDZ36,6.035,Regular,Baking Goods,185.724,Supermarket Type1
NCU05,11.8,Low Fat,Health and Hygiene,81.1618,Supermarket Type1
FDT39,6.26,Regular,Meat,151.1366,Supermarket Type2
FDK60,16.5,Regular,Baking Goods,97.2068,Supermarket Type1
FDZ25,15.7,Regular,Canned,169.279,Supermarket Type1
FDG12,6.635,reg,Baking Goods,122.1098,Supermarket Type1
DRB01,,low fat,Soft Drinks,191.553,Grocery Store
NCC43,,Low Fat,Household,250.6066,Supermarket Type3
FDX13,,Low Fat,Canned,248.6092,Grocery Store
FDM22,14,Regular,Snack Foods,53.064,Supermarket Type1
FDJ03,,Regular,Dairy,48.8692,Supermarket Type3
FDU14,17.75,Low Fat,Dairy,249.775,Supermarket Type2
FDB33,17.75,Low Fat,Fruits and Vegetables,159.0262,Grocery Store
FDP27,8.155,Low Fat,Meat,190.653,Supermarket Type1
FDO38,17.25,Low Fat,Canned,76.6986,Grocery Store
FDE28,,Regular,Frozen Foods,232.0668,Supermarket Type3
FDO27,6.175,Regular,Meat,95.3752,Supermarket Type1
DRL23,,Low Fat,Hard Drinks,107.0938,Supermarket Type3
FDS28,8.18,Regular,Frozen Foods,55.9588,Supermarket Type1
FDX24,8.355,Low Fat,Baking Goods,92.5462,Supermarket Type1
FDZ02,6.905,Regular,Dairy,96.3726,Supermarket Type1
FDL46,20.35,Low Fat,Snack Foods,116.9466,Supermarket Type1
FDS60,,Low Fat,Baking Goods,178.766,Supermarket Type3
NCO06,19.25,Low Fat,Household,33.0558,Supermarket Type1
FDO16,5.48,Low Fat,Frozen Foods,84.625,Supermarket Type1
FDC60,5.425,Regular,Baking Goods,87.3514,Supermarket Type1
FDA48,12.1,Low Fat,Baking Goods,220.2114,Supermarket Type2
FDZ36,,Regular,Baking Goods,186.424,Supermarket Type3
FDK27,11,Low Fat,Meat,120.6756,Supermarket Type1
FDW23,5.765,Low Fat,Baking Goods,38.8164,Supermarket Type2
FDM14,13.8,Low Fat,Canned,110.1254,Supermarket Type2
FDM14,13.8,Low Fat,Canned,108.2254,Supermarket Type1
FDW60,5.44,Regular,Baking Goods,177.837,Supermarket Type2
FDE21,12.8,Low Fat,Fruits and Vegetables,116.4492,Supermarket Type1
NCM42,6.13,Low Fat,Household,109.3912,Supermarket Type1
FDY59,8.195,Low Fat,Baking Goods,93.9462,Grocery Store
DRI49,14.15,Low Fat,Soft Drinks,81.3276,Supermarket Type1
FDT28,,Low Fat,Frozen Foods,151.2708,Grocery Store
FDQ22,16.75,Low Fat,Snack Foods,39.5822,Supermarket Type2
FDR60,14.3,LF,Baking Goods,76.5328,Supermarket Type1
FDC50,,LF,Canned,94.7094,Grocery Store
FDV24,5.635,Low Fat,Baking Goods,151.805,Supermarket Type1
DRF48,5.73,Low Fat,Soft Drinks,188.3898,Grocery Store
FDQ47,7.155,Regular,Breads,36.5874,Supermarket Type1
DRN36,15.2,low fat,Soft Drinks,97.3752,Supermarket Type1
NCY06,15.25,Low Fat,Household,128.5968,Supermarket Type1
FDE52,10.395,Regular,Dairy,89.5514,Supermarket Type1
NCB54,8.76,Low Fat,Health and Hygiene,126.9336,Supermarket Type1
NCF31,9.13,Low Fat,Household,152.6024,Supermarket Type1
FDJ08,,Low Fat,Fruits and Vegetables,189.7846,Supermarket Type3
NCC07,19.6,Low Fat,Household,106.0964,Supermarket Type1
NCD19,,Low Fat,Household,53.7614,Supermarket Type3
FDL46,20.35,Low Fat,Snack Foods,118.9466,Supermarket Type1
FDM20,10,Low Fat,Fruits and Vegetables,246.2144,Supermarket Type1
NCI06,11.3,Low Fat,Household,180.466,Grocery Store
DRM11,6.57,Low Fat,Hard Drinks,259.3278,Supermarket Type1
NCH07,13.15,Low Fat,Household,158.4604,Supermarket Type2
FDS23,4.635,Low Fat,Breads,129.4994,Supermarket Type1
FDO49,10.6,Regular,Breakfast,49.1008,Supermarket Type2
FDS35,9.3,Low Fat,Breads,65.2826,Supermarket Type1
DRK39,7.02,Low Fat,Dairy,82.525,Supermarket Type1
DRI39,13.8,Low Fat,Dairy,58.293,Supermarket Type1
FDV04,7.825,Regular,Frozen Foods,158.0288,Supermarket Type1
NCN14,19.1,Low Fat,Others,182.5608,Supermarket Type1
FDH08,7.51,Low Fat,Fruits and Vegetables,231.101,Supermarket Type1
FDS20,8.85,Low Fat,Fruits and Vegetables,183.0292,Supermarket Type1
FDV40,17.35,Low Fat,Frozen Foods,75.4038,Supermarket Type1
FDZ48,17.75,Low Fat,Baking Goods,110.5544,Grocery Store
FDS24,,Regular,Baking Goods,87.5514,Supermarket Type3
FDK44,16.6,Low Fat,Fruits and Vegetables,174.3738,Supermarket Type1
FDS48,15.15,Low Fat,Baking Goods,150.4708,Supermarket Type1
FDK26,5.46,Regular,Canned,186.924,Grocery Store
FDD23,9.5,Regular,Starchy Foods,188.5898,Supermarket Type1
NCH54,13.5,LF,Household,161.492,Supermarket Type1
NCP14,8.275,Low Fat,Household,106.5306,Grocery Store
FDM60,10.8,Regular,Baking Goods,39.4138,Grocery Store
FDV24,5.635,Low Fat,Baking Goods,151.305,Supermarket Type1
FDH08,7.51,Low Fat,Fruits and Vegetables,228.801,Supermarket Type2
FDS12,,Low Fat,Baking Goods,127.6362,Supermarket Type3
FDR39,,Low Fat,Meat,180.6292,Supermarket Type3
FDP12,,Regular,Baking Goods,36.4874,Supermarket Type3
DRF60,,Low Fat,Soft Drinks,236.4564,Supermarket Type3
FDC09,15.5,Regular,Fruits and Vegetables,102.7332,Supermarket Type1
FDF50,4.905,low fat,Canned,198.5768,Supermarket Type2
FDG28,9.285,Regular,Frozen Foods,243.9144,Supermarket Type1
NCE19,8.97,Low Fat,Household,55.4956,Supermarket Type1
NCM53,18.75,Low Fat,Health and Hygiene,108.228,Grocery Store
NCN18,8.895,Low Fat,Household,110.9544,Supermarket Type1
FDF32,16.35,Low Fat,Fruits and Vegetables,199.1426,Supermarket Type1
FDF11,10.195,Regular,Starchy Foods,239.4538,Supermarket Type1
DRI59,9.5,Low Fat,Hard Drinks,225.2088,Supermarket Type1
NCG54,12.1,Low Fat,Household,169.5106,Supermarket Type1
FDM44,12.5,Low Fat,Fruits and Vegetables,101.399,Supermarket Type1
FDT57,15.2,Low Fat,Snack Foods,236.2248,Supermarket Type2
FDV24,5.635,Low Fat,Baking Goods,151.205,Supermarket Type1
FDI50,,Regular,Canned,227.8352,Grocery Store
FDS09,8.895,Regular,Snack Foods,51.2008,Supermarket Type1
NCC31,,Low Fat,Household,154.5972,Supermarket Type3
FDQ07,,Regular,Fruits and Vegetables,219.0456,Grocery Store
FDC22,6.89,Regular,Snack Foods,191.882,Supermarket Type1
FDZ56,16.25,Low Fat,Fruits and Vegetables,169.3474,Supermarket Type1
FDZ40,,Low Fat,Frozen Foods,53.9298,Grocery Store
FDS46,,Regular,Snack Foods,118.3782,Supermarket Type3
DRD24,13.85,Low Fat,Soft Drinks,140.6154,Supermarket Type1
FDV45,16.75,Low Fat,Snack Foods,189.1556,Supermarket Type1
FDL26,18,Low Fat,Canned,155.7972,Supermarket Type1
FDA56,9.21,Low Fat,Fruits and Vegetables,123.0414,Supermarket Type2
FDN27,20.85,Low Fat,Meat,118.1808,Supermarket Type1
FDM20,10,Low Fat,Fruits and Vegetables,245.0144,Supermarket Type1
FDO16,5.48,Low Fat,Frozen Foods,82.825,Supermarket Type1
FDL03,19.25,Regular,Meat,195.611,Supermarket Type1
FDE58,18.5,Low Fat,Snack Foods,117.0124,Supermarket Type1
FDI02,,Regular,Canned,112.2202,Supermarket Type3
NCC55,,LF,Household,38.8848,Grocery Store
FDR03,15.7,Regular,Meat,205.798,Supermarket Type2
FDB14,20.25,Regular,Canned,92.612,Supermarket Type1
FDR45,10.8,LF,Snack Foods,240.9222,Supermarket Type1
NCN07,18.5,Low Fat,Others,130.0284,Supermarket Type1
FDM51,,Regular,Meat,102.2674,Grocery Store
FDT52,,Regular,Frozen Foods,244.9144,Supermarket Type3
FDL26,18,Low Fat,Canned,154.2972,Supermarket Type1
NCZ42,10.5,Low Fat,Household,238.9248,Supermarket Type1
DRI47,,Low Fat,Hard Drinks,145.6128,Grocery Store
FDW40,14,Regular,Frozen Foods,141.1812,Supermarket Type1
FDN34,15.6,Regular,Snack Foods,169.2132,Supermarket Type1
FDS01,11.6,Low Fat,Canned,178.3686,Supermarket Type1
NCG55,16.25,Low Fat,Household,116.2176,Supermarket Type1
FDC11,20.5,Low Fat,Starchy Foods,87.4172,Supermarket Type1
FDX35,5.035,Regular,Breads,226.4036,Supermarket Type2
NCB06,17.6,Low Fat,Health and Hygiene,160.392,Supermarket Type1
FDR09,,Low Fat,Snack Foods,259.8962,Grocery Store
FDC53,8.68,Low Fat,Frozen Foods,96.9384,Supermarket Type1
FDY45,17.5,Low Fat,Snack Foods,255.2356,Supermarket Type1
FDA22,7.435,Low Fat,Starchy Foods,168.5158,Grocery Store
FDE02,8.71,Low Fat,Canned,95.2778,Supermarket Type1
FDW21,5.34,Regular,Snack Foods,100.8358,Supermarket Type1
FDV34,10.695,Regular,Snack Foods,73.6038,Supermarket Type1
FDS59,14.8,Regular,Breads,109.157,Supermarket Type1
NCW17,18,Low Fat,Health and Hygiene,127.8994,Supermarket Type1
NCK54,12.15,Low Fat,Household,117.215,Supermarket Type1
FDG17,,Regular,Frozen Foods,244.2486,Grocery Store
FDG35,21.2,Regular,Starchy Foods,173.0738,Supermarket Type1
FDD08,8.3,Low Fat,Fruits and Vegetables,37.8506,Grocery Store
NCO07,9.06,Low Fat,Others,211.156,Supermarket Type1
FDJ10,5.095,reg,Snack Foods,142.2838,Grocery Store
FDW36,11.15,Low Fat,Baking Goods,104.0622,Supermarket Type1
FDW21,5.34,Regular,Snack Foods,101.0358,Grocery Store
FDY19,19.75,Low Fat,Fruits and Vegetables,118.0466,Supermarket Type1
DRE03,19.6,Low Fat,Dairy,47.0718,Supermarket Type1
NCC55,10.695,Low Fat,Household,38.1848,Supermarket Type1
FDH52,9.42,Regular,Frozen Foods,63.6194,Grocery Store
FDO09,13.5,Regular,Snack Foods,264.691,Supermarket Type1
FDU43,19.35,Regular,Fruits and Vegetables,239.4564,Supermarket Type1
FDX09,9,Low Fat,Snack Foods,175.037,Grocery Store
FDH40,,Regular,Frozen Foods,83.1276,Grocery Store
FDW58,20.75,Low Fat,Snack Foods,104.4622,Supermarket Type1
FDC47,15,Low Fat,Snack Foods,227.2694,Supermarket Type1
NCR41,17.85,LF,Health and Hygiene,94.4094,Supermarket Type1
DRG49,7.81,Low Fat,Soft Drinks,244.7486,Supermarket Type1
FDC52,,Regular,Dairy,152.2708,Supermarket Type3
FDY13,12.1,Low Fat,Canned,74.567,Supermarket Type1
FDY35,17.6,Regular,Breads,44.0402,Supermarket Type1
FDI35,14,Low Fat,Starchy Foods,181.7634,Supermarket Type1
NCU18,15.1,Low Fat,Household,141.4496,Supermarket Type1
FDY33,14.5,Regular,Snack Foods,158.5262,Supermarket Type2
FDC15,,Low Fat,Dairy,157.5288,Supermarket Type3
FDU01,20.25,Regular,Canned,186.4924,Supermarket Type1
NCU42,9,Low Fat,Household,169.5474,Supermarket Type1
NCV29,11.8,Low Fat,Health and Hygiene,177.6686,Supermarket Type2
NCY30,20.25,Low Fat,Household,182.8976,Supermarket Type1
FDQ46,7.51,Low Fat,Snack Foods,112.1544,Supermarket Type1
FDG58,,Regular,Snack Foods,153.7972,Supermarket Type3
FDK33,17.85,Low Fat,Snack Foods,213.256,Supermarket Type1
NCD07,9.1,Low Fat,Household,115.6518,Supermarket Type1
NCX29,,Low Fat,Health and Hygiene,144.4102,Supermarket Type3
NCT42,5.88,Low Fat,Household,148.3392,Supermarket Type1
DRN59,15,Low Fat,Hard Drinks,45.906,Supermarket Type1
FDI44,16.1,Low Fat,Fruits and Vegetables,79.0328,Supermarket Type1
FDA45,21.25,Low Fat,Snack Foods,178.237,Supermarket Type1
FDP31,21.1,Regular,Fruits and Vegetables,65.7168,Supermarket Type1
FDY01,11.8,Regular,Canned,115.1834,Supermarket Type1
FDT09,15.15,Regular,Snack Foods,132.8284,Supermarket Type2
DRH03,,Low Fat,Dairy,94.812,Supermarket Type3
FDA36,5.985,Low Fat,Baking Goods,186.6924,Supermarket Type2
NCF31,9.13,Low Fat,Household,153.4024,Supermarket Type1
FDG14,9,Regular,Canned,151.3024,Supermarket Type1
FDG28,,Regular,Frozen Foods,245.5144,Supermarket Type3
FDU14,17.75,Low Fat,Dairy,250.175,Supermarket Type1
FDY47,,Regular,Breads,131.131,Grocery Store
FDI56,7.325,Low Fat,Fruits and Vegetables,90.4146,Supermarket Type1
DRD01,12.1,Regular,Soft Drinks,56.4614,Supermarket Type1
FDM22,14,Regular,Snack Foods,54.864,Supermarket Type1
FDH33,12.85,Low Fat,Snack Foods,42.2428,Supermarket Type1
DRZ24,7.535,Low Fat,Soft Drinks,118.444,Supermarket Type1
NCQ38,16.35,Low Fat,Others,105.228,Supermarket Type1
FDO16,,Low Fat,Frozen Foods,84.025,Supermarket Type3
FDU07,,Low Fat,Fruits and Vegetables,149.2366,Supermarket Type3
NCB07,19.2,Low Fat,Household,194.511,Supermarket Type1
FDU48,18.85,Low Fat,Baking Goods,132.1284,Supermarket Type1
NCM43,14.5,Low Fat,Others,165.121,Supermarket Type1
FDR31,6.46,Regular,Fruits and Vegetables,144.4102,Grocery Store
DRK49,14.15,Low Fat,Soft Drinks,41.1138,Supermarket Type2
NCI30,20.25,Low Fat,Household,244.746,Grocery Store
DRD60,15.7,Low Fat,Soft Drinks,181.1634,Supermarket Type1
NCG19,20.25,Low Fat,Household,235.3616,Supermarket Type1
FDH12,9.6,LF,Baking Goods,105.028,Supermarket Type1
FDM32,20.5,Low Fat,Fruits and Vegetables,91.683,Supermarket Type1
FDM27,12.35,Regular,Meat,156.0946,Supermarket Type1
NCU53,,Low Fat,Health and Hygiene,165.7842,Supermarket Type3
NCQ18,15.75,Low Fat,Household,99.17,Supermarket Type1
FDS10,19.2,Low Fat,Snack Foods,179.1318,Supermarket Type1
FDB33,,Low Fat,Fruits and Vegetables,157.4262,Supermarket Type3
FDI12,9.395,Regular,Baking Goods,85.8856,Supermarket Type1
NCW42,18.2,Low Fat,Household,221.4456,Supermarket Type1
NCC06,19,Low Fat,Household,128.6336,Supermarket Type2
FDW02,4.805,Regular,Dairy,125.8704,Supermarket Type1
NCD43,8.85,Low Fat,Household,104.2964,Supermarket Type1
FDM57,11.65,Regular,Snack Foods,82.9908,Supermarket Type2
FDA58,9.395,Low Fat,Snack Foods,236.8932,Supermarket Type1
FDK56,9.695,Low Fat,Fruits and Vegetables,185.1898,Supermarket Type1
FDP52,18.7,Regular,Frozen Foods,231.201,Supermarket Type1
FDW20,20.75,LF,Fruits and Vegetables,123.973,Supermarket Type2
FDS52,8.89,Low Fat,Frozen Foods,100.4016,Supermarket Type1
NCT29,12.6,Low Fat,Health and Hygiene,119.8414,Supermarket Type2
NCL54,12.6,Low Fat,Household,176.6054,Supermarket Type1
FDC05,13.1,Regular,Frozen Foods,198.2768,Supermarket Type1
FDF34,9.3,Regular,Snack Foods,196.8084,Supermarket Type1
FDP03,,Regular,Meat,124.4388,Supermarket Type3
FDD32,17.7,Regular,Fruits and Vegetables,83.2276,Grocery Store
FDZ10,17.85,Low Fat,Snack Foods,127.502,Supermarket Type1
FDZ40,8.935,Low Fat,Frozen Foods,54.1298,Supermarket Type1
FDD51,11.15,Low Fat,Dairy,43.7744,Supermarket Type2
NCY30,,Low Fat,Household,179.5976,Grocery Store
FDP58,11.1,LF,Snack Foods,217.9482,Supermarket Type1
FDV49,10,Low Fat,Canned,264.3226,Supermarket Type1
FDY24,,Regular,Baking Goods,52.4298,Grocery Store
NCO55,12.8,Low Fat,Others,107.1938,Supermarket Type1
FDR13,9.895,Regular,Canned,116.6492,Supermarket Type1
FDS51,13.35,Low Fat,Meat,62.0194,Supermarket Type1
FDP26,7.785,Low Fat,Dairy,104.7306,Supermarket Type1
NCB54,,Low Fat,Health and Hygiene,129.2336,Supermarket Type3
FDF32,16.35,Low Fat,Fruits and Vegetables,197.1426,Supermarket Type1
FDN31,11.5,Low Fat,Fruits and Vegetables,189.153,Supermarket Type2
DRM48,15.2,Low Fat,Soft Drinks,36.0848,Supermarket Type1
FDN20,19.35,Low Fat,Fruits and Vegetables,169.0474,Supermarket Type1
DRL01,19.5,Regular,Soft Drinks,233.1958,Supermarket Type1
FDV56,16.1,Regular,Fruits and Vegetables,107.2596,Supermarket Type1
DRH13,,Low Fat,Soft Drinks,107.728,Supermarket Type3
FDA03,18.5,Regular,Dairy,145.6102,Supermarket Type1
FDF47,,Low Fat,Starchy Foods,223.8746,Supermarket Type3
FDX32,15.1,Regular,Fruits and Vegetables,146.4786,Supermarket Type1
FDX57,17.25,Regular,Snack Foods,96.5068,Supermarket Type1
NCA30,19,LF,Household,190.5872,Supermarket Type1
FDO49,10.6,Regular,Breakfast,49.3008,Supermarket Type1
FDL04,,Low Fat,Frozen Foods,105.1622,Grocery Store
DRM48,15.2,Low Fat,Soft Drinks,37.2848,Supermarket Type1
FDR16,5.845,Regular,Frozen Foods,212.3218,Supermarket Type1
NCC19,6.57,Low Fat,Household,192.682,Supermarket Type2
NCE42,21.1,Low Fat,Household,235.4958,Supermarket Type1
FDY24,4.88,Regular,Baking Goods,54.9298,Supermarket Type1
FDH19,19.35,Low Fat,Meat,175.4738,Supermarket Type1
FDJ46,11.1,Low Fat,Snack Foods,173.4054,Supermarket Type1
FDN45,19.35,Low Fat,Snack Foods,224.6088,Grocery Store
FDY08,9.395,Regular,Fruits and Vegetables,139.9838,Supermarket Type1
FDZ37,8.1,Regular,Canned,86.6198,Supermarket Type1
NCT30,9.1,LF,Household,47.3718,Supermarket Type1
DRY23,9.395,Regular,Soft Drinks,41.9112,Supermarket Type2
NCZ30,6.59,Low Fat,Household,121.7098,Supermarket Type2
FDC44,15.6,Low Fat,Fruits and Vegetables,113.3518,Supermarket Type2
FDB45,20.85,Low Fat,Fruits and Vegetables,104.6306,Supermarket Type1
FDY04,17.7,Regular,Frozen Foods,163.221,Supermarket Type1
FDM27,12.35,reg,Meat,158.8946,Supermarket Type1
FDZ43,11,Regular,Fruits and Vegetables,241.2512,Supermarket Type1
FDT39,,Regular,Meat,150.7366,Grocery Store
NCC06,,LF,Household,126.7336,Grocery Store
FDL15,,Low Fat,Meat,153.5682,Supermarket Type3
FDL57,15.1,Regular,Snack Foods,257.5304,Supermarket Type1
FDU08,10.3,Low Fat,Fruits and Vegetables,98.7042,Supermarket Type1
FDK40,7.035,Low Fat,Frozen Foods,264.091,Supermarket Type1
FDQ12,12.65,Low Fat,Baking Goods,229.101,Grocery Store
FDS48,15.15,Low Fat,Baking Goods,151.1708,Supermarket Type1
FDP09,19.75,Low Fat,Snack Foods,212.0902,Supermarket Type1
FDW21,5.34,Regular,Snack Foods,99.0358,Supermarket Type1
FDY25,12,Low Fat,Canned,181.0976,Supermarket Type1
DRE13,6.28,Low Fat,Soft Drinks,85.5198,Supermarket Type1
FDV43,,Low Fat,Fruits and Vegetables,42.7086,Grocery Store
FDD22,10,Low Fat,Snack Foods,111.7544,Supermarket Type1
FDM46,,Low Fat,Snack Foods,92.712,Grocery Store
NCO30,19.5,Low Fat,Household,184.9608,Grocery Store
FDM25,10.695,Regular,Breakfast,173.7712,Supermarket Type1
NCN41,17,Low Fat,Health and Hygiene,122.873,Supermarket Type1
FDU24,6.78,Regular,Baking Goods,93.312,Supermarket Type1
FDZ50,12.8,Regular,Dairy,183.7608,Supermarket Type1
FDP45,15.7,Regular,Snack Foods,251.4724,Supermarket Type1
NCM54,17.7,Low Fat,Household,126.1678,Supermarket Type1
FDW10,,Low Fat,Snack Foods,175.337,Grocery Store
FDP20,19.85,Low Fat,Fruits and Vegetables,127.902,Supermarket Type1
FDK32,16.25,Regular,Fruits and Vegetables,151.0682,Supermarket Type1
FDN52,9.395,Regular,Frozen Foods,87.7198,Supermarket Type1
FDM58,16.85,Regular,Snack Foods,111.0544,Supermarket Type1
FDZ46,,Low Fat,Snack Foods,110.8228,Supermarket Type3
NCA18,10.1,Low Fat,Household,117.1492,Supermarket Type2
FDD35,12.15,Low Fat,Starchy Foods,121.844,Supermarket Type1
NCK31,10.895,Low Fat,Others,49.4666,Supermarket Type1
FDI40,,Regular,Frozen Foods,100.5358,Supermarket Type3
FDT50,,Regular,Dairy,97.7752,Grocery Store
NCT06,17.1,Low Fat,Household,164.7842,Supermarket Type1
FDT31,19.75,Low Fat,Fruits and Vegetables,187.8872,Supermarket Type1
FDT45,15.85,Low Fat,Snack Foods,53.0956,Supermarket Type1
FDT13,14.85,Low Fat,Canned,187.1214,Supermarket Type1
FDO50,16.25,Low Fat,Canned,90.9804,Supermarket Type1
NCU18,15.1,Low Fat,Household,140.8496,Grocery Store
NCR54,16.35,Low Fat,Household,195.111,Supermarket Type1
NCO18,13.15,Low Fat,Household,178.2686,Supermarket Type2
FDU09,7.71,Regular,Snack Foods,56.2956,Supermarket Type1
FDT13,14.85,Low Fat,Canned,187.5214,Supermarket Type2
FDE09,8.775,Low Fat,Fruits and Vegetables,112.2228,Supermarket Type1
